VALUE_NEW|VALUE_OLD
130|200
210|51
26|305
292|325
323|216
228|348
354|113
359|363
233|203
253|368
111|353
400|219
215|140
401|220
402|50
146|147
287|23
76|336
187|169
19|189
129|186
