Pilot
Air Hostess
Hotels/Hospitality Professional
Top Management (CXO, M.D. etc.)
Marketing Professional
Consultant
Interior Designer
Self Employed
Nurse
Media Professional
Sportsperson
Police
Healthcare Professional
Professor/Lecturer
Project Manager - Non IT
Education Professional
Research Professional
Scientist
