City Label|State|STD Code
Thiruvetriyur|Tamil Nadu|456157
Tohana|Haryana|1692
Tuensang|Nagaland|3861
Tura|Meghalaya|3651
Udhampur|Jammu & Kashmir|1992
Vejalpur|Gujarat|26726
Veraval|Gujarat|2876
Vidisha|Madhya Pradesh|7592
Wokha|Nagaland|3860
Zunheboto|Nagaland|3867
Rangareddy|Andhra Pradesh|8414
