Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-07-01,2983,128,4.29,99,77.34,29,,62,20,2,6,4,,62,17,60.71,11,39.29
2007-07-02,2861,128,4.47,98,76.56,30,,58,25,3,4,3,4,57,15,75,5,25
2007-07-03,2669,102,3.82,77,75.49,25,,50,13,2,2,2,1,47,14,77.78,4,22.22
2007-07-04,2696,129,4.78,94,72.87,35,,60,17,2,3,2,4,55,17,54.84,14,45.16
2007-07-05,4024,148,3.68,119,80.41,29,,92,15,1,3,2,6,73,12,48,13,52
2007-07-06,3976,140,3.52,111,79.29,29,1,74,16,2,3,3,6,68,21,65.63,11,34.38
2007-07-07,4235,159,3.75,115,72.33,44,,71,18,,2,2,4,63,26,68.42,12,31.58
2007-07-08,4418,153,3.46,127,83.01,26,1,88,11,1,8,7,4,69,28,77.78,8,22.22
2007-07-09,4163,145,3.48,116,80,29,,73,13,2,4,4,1,63,30,71.43,12,28.57
2007-07-10,4156,144,3.46,116,80.56,28,,72,20,6,3,1,3,61,24,68.57,11,31.43
2007-07-11,4045,131,3.24,101,77.1,30,,69,15,4,3,1,6,54,17,65.38,9,34.62
2007-07-12,3965,127,3.2,103,81.1,24,1,71,16,2,8,5,3,57,16,64,9,36
2007-07-13,3469,111,3.2,87,78.38,24,1,55,14,,1,1,2,51,18,56.25,14,43.75
2007-07-14,3852,143,3.71,112,78.32,31,,76,15,1,2,,3,76,21,50,21,50
2007-07-15,4167,155,3.72,101,65.16,54,,73,12,1,4,3,,63,16,64,9,36
2007-07-16,4031,145,3.6,105,72.41,40,2,68,14,4,1,1,2,58,23,60.53,15,39.47
2007-07-17,4496,144,3.2,108,75,36,1,70,20,2,4,2,3,53,18,72,7,28
2007-07-18,3917,154,3.93,106,68.83,48,2,79,14,2,4,2,2,60,13,46.43,15,53.57
2007-07-19,3558,135,3.79,105,77.78,30,,82,11,2,5,2,3,56,12,63.16,7,36.84
2007-07-20,3108,104,3.35,76,73.08,28,1,55,11,1,8,4,,38,10,52.63,9,47.37
2007-07-21,3302,104,3.15,77,74.04,27,,48,15,2,1,,,38,14,73.68,5,26.32
2007-07-22,3481,138,3.96,106,76.81,32,1,71,13,,6,5,1,54,22,75.86,7,24.14
2007-07-23,3646,121,3.32,93,76.86,28,,60,7,1,6,3,1,53,26,70.27,11,29.73
2007-07-24,3481,132,3.79,100,75.76,32,,69,17,2,2,2,4,61,14,53.85,12,46.15
2007-07-25,3477,120,3.45,95,79.17,25,,60,12,,2,1,4,65,23,54.76,19,45.24
2007-07-26,3468,122,3.52,95,77.87,27,,67,14,4,5,4,2,52,14,51.85,13,48.15
2007-07-27,3178,104,3.27,81,77.88,23,,47,13,1,3,2,1,44,21,63.64,12,36.36
2007-07-28,3415,131,3.84,106,80.92,25,,69,12,2,9,3,3,60,25,62.5,15,37.5
2007-07-29,3415,100,2.93,78,78,22,,50,15,1,5,4,,42,13,59.09,9,40.91
2007-07-31,3364,113,3.36,91,80.53,22,1,63,14,4,2,1,4,56,14,73.68,5,26.32
