Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-01-01,4,2,50,2,100,0,,2,,1,,,,,,0,3,100
2007-01-02,4,1,25,0,0,1,,,,,,,,,,0,4,100
2007-01-03,7,3,42.86,3,100,0,,3,,1,,,,1,,0,2,100
2007-01-04,3,1,33.33,1,100,0,,1,,,1,1,,,,0,3,100
2007-01-05,1,1,100,1,100,0,,1,,,,,,1,,0,2,100
2007-01-06,5,3,60,3,100,0,,3,,,2,,,,,0,4,100
2007-01-07,2,2,100,2,100,0,,2,,,1,,,,,0,2,100
2007-01-08,2,1,50,1,100,0,,,,,1,,,,1,25,3,75
2007-01-09,3,4,133.33,4,100,0,,3,,,1,,,,1,20,4,80
2007-01-10,1,3,300,3,100,0,,1,2,,1,1,,,,0,3,100
2007-01-11,3,1,33.33,1,100,0,,1,,,,,,,,0,2,100
2007-01-12,4,2,50,2,100,0,,2,,,1,,,,,0,6,100
2007-01-13,7,5,71.43,5,100,0,,5,,,1,,,,,0,3,100
2007-01-14,2,3,150,3,100,0,,3,,1,,,,,,0,3,100
2007-01-15,4,3,75,3,100,0,,2,1,,1,,,,,0,3,100
2007-01-16,8,1,12.5,1,100,0,,1,,,1,,,,,0,6,100
2007-01-17,5,2,40,2,100,0,,1,1,,,,,,,0,5,100
2007-01-18,10,0,0,0,,0,,,,,,,,,,0,1,100
2007-01-19,4,5,125,5,100,0,,3,2,,2,,,,,0,3,100
2007-01-20,1,5,500,5,100,0,,4,1,1,,,2,,,0,1,100
2007-01-21,3,1,33.33,1,100,0,,,1,1,,,,,,0,1,100
2007-01-22,1,0,0,0,,0,,,,,,,,,,0,2,100
2007-01-23,6,3,50,3,100,0,,2,1,1,,,,,,0,4,100
2007-01-24,3,0,0,0,,0,,,,,,,,,,0,5,100
2007-01-25,1,1,100,1,100,0,,1,,,,,,,,0,3,100
2007-01-26,,0,,0,,0,,,,,,,,,,0,5,100
2007-01-27,1,1,100,1,100,0,,1,,,,,,,,0,4,100
2007-01-28,4,4,100,4,100,0,,3,1,1,1,,1,,,0,7,100
2007-01-29,1,2,200,2,100,0,,1,,,1,1,1,,1,14.29,6,85.71
2007-01-30,2,2,100,2,100,0,,2,,,,,,,,0,4,100
2007-01-31,2,2,100,2,100,0,,1,1,,,,,,,0,8,100
