Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-01-01,1263,77,6.1,65,84.42,12,,44,6,,,,3,46,15,71.43,6,28.57
2007-01-02,1046,45,4.3,40,88.89,5,,25,3,,1,,1,24,12,75,4,25
2007-01-03,1076,42,3.9,34,80.95,8,1,26,5,,1,,,26,3,50,3,50
2007-01-04,1060,65,6.13,49,75.38,16,,28,11,1,,,1,32,10,76.92,3,23.08
2007-01-05,1737,71,4.09,58,81.69,13,,41,5,2,3,3,,30,12,80,3,20
2007-01-06,1850,100,5.41,81,81,19,,52,9,2,5,1,,53,20,68.97,9,31.03
2007-01-07,1820,99,5.44,85,85.86,14,,59,11,2,5,3,3,53,15,71.43,6,28.57
2007-01-08,1850,95,5.14,78,82.11,17,,46,13,2,2,1,5,50,19,82.61,4,17.39
2007-01-09,1611,82,5.09,68,82.93,14,,50,7,2,2,1,3,36,11,61.11,7,38.89
2007-01-10,2195,109,4.97,87,79.82,22,1,48,10,2,2,2,2,60,29,78.38,8,21.62
2007-01-11,2028,90,4.44,69,76.67,21,,47,10,,4,4,1,38,12,60,8,40
2007-01-12,1696,72,4.25,63,87.5,9,1,35,13,1,1,,,43,15,71.43,6,28.57
2007-01-13,1767,84,4.75,66,78.57,18,,42,10,2,,,2,48,14,66.67,7,33.33
2007-01-14,1784,88,4.93,77,87.5,11,,55,12,,,,4,56,10,62.5,6,37.5
2007-01-15,1916,100,5.22,80,80,20,,57,12,,5,2,1,54,11,64.71,6,35.29
2007-01-16,1683,70,4.16,52,74.29,18,,30,11,,2,1,,34,11,55,9,45
2007-01-17,2161,75,3.47,66,88,9,,47,5,1,1,1,,44,14,70,6,30
2007-01-18,2134,84,3.94,61,72.62,23,,47,7,,1,,1,37,7,53.85,6,46.15
2007-01-19,1869,90,4.82,73,81.11,17,,48,12,2,1,,3,42,13,61.9,8,38.1
2007-01-20,2157,96,4.45,75,78.13,21,,53,8,1,2,2,,39,14,87.5,2,12.5
2007-01-21,2193,114,5.2,90,78.95,24,,61,11,1,1,,2,66,18,51.43,17,48.57
2007-01-22,2316,116,5.01,93,80.17,23,,67,13,,3,3,,60,13,72.22,5,27.78
2007-01-23,2455,97,3.95,83,85.57,14,,49,14,1,2,1,3,48,20,68.97,9,31.03
2007-01-24,2433,130,5.34,109,83.85,21,,72,14,1,2,1,2,78,23,74.19,8,25.81
2007-01-25,2371,111,4.68,86,77.48,25,,54,12,3,3,1,3,55,20,64.52,11,35.48
2007-01-26,2158,105,4.87,74,70.48,31,,46,11,2,3,2,1,47,17,73.91,6,26.09
2007-01-27,2401,122,5.08,94,77.05,28,,63,16,,3,2,1,65,15,62.5,9,37.5
2007-01-28,2562,116,4.53,92,79.31,24,,64,11,1,1,1,2,66,17,60.71,11,39.29
2007-01-29,2877,114,3.96,94,82.46,20,1,65,12,1,2,1,1,62,17,56.67,13,43.33
2007-01-30,2627,91,3.46,71,78.02,20,,44,12,2,2,1,,48,15,71.43,6,28.57
2007-01-31,2247,100,4.45,84,84,16,,63,9,3,3,1,2,49,12,52.17,11,47.83
