Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-11-01,74,11,14.86,11,100,0,,6,2,1,2,2,2,2,3,37.5,5,62.5
2006-11-02,61,4,6.56,4,100,0,,1,,,,,1,,3,60,2,40
2006-11-03,40,7,17.5,7,100,0,,3,3,1,,,,,1,50,1,50
2006-11-04,56,7,12.5,7,100,0,,4,2,1,1,,,,1,16.67,5,83.33
2006-11-05,39,4,10.26,4,100,0,,3,1,1,1,,1,1,,0,2,100
2006-11-06,44,8,18.18,8,100,0,,4,3,,2,,,1,1,33.33,2,66.67
2006-11-07,34,3,8.82,3,100,0,,,2,,1,,,,1,50,1,50
2006-11-08,55,4,7.27,4,100,0,,3,1,,,,1,,,0,9,100
2006-11-09,63,3,4.76,3,100,0,,2,1,,1,,1,,,0,1,100
2006-11-10,52,6,11.54,6,100,0,,3,3,,2,,1,,,0,1,100
2006-11-11,51,5,9.8,5,100,0,,4,1,,1,,,,,0,2,100
2006-11-12,30,7,23.33,7,100,0,,5,1,1,,,,,1,50,1,50
2006-11-13,42,5,11.9,5,100,0,1,4,1,,,,3,,,0,3,100
2006-11-14,56,5,8.93,5,100,0,,3,1,,,,,1,1,25,3,75
2006-11-15,35,5,14.29,5,100,0,,3,1,1,1,,,,1,50,1,50
2006-11-16,56,4,7.14,4,100,0,,3,,,,,,1,1,50,1,50
2006-11-17,43,7,16.28,7,100,0,,4,1,1,2,1,2,1,2,33.33,4,66.67
2006-11-18,36,1,2.78,1,100,0,,,1,,,,,,,0,3,100
2006-11-19,23,5,21.74,5,100,0,,3,1,,1,,,,1,20,4,80
2006-11-20,38,1,2.63,1,100,0,,1,,,1,,,,,0,2,100
2006-11-21,36,4,11.11,3,75,1,,2,,1,,,,1,1,20,4,80
2006-11-22,39,2,5.13,2,100,0,,1,,,,,,,1,50,1,50
2006-11-23,55,4,7.27,4,100,0,,4,,,3,2,,,,0,3,100
2006-11-24,39,1,2.56,1,100,0,,,1,,1,,,,,0,3,100
2006-11-25,35,4,11.43,3,75,1,,2,1,,,,1,,,0,5,100
2006-11-26,36,1,2.78,1,100,0,,1,,,1,,,,,0,3,100
2006-11-27,36,3,8.33,2,66.67,1,,2,,,,,,,,0,3,100
2006-11-28,32,3,9.38,3,100,0,,2,,,,,,,1,14.29,6,85.71
2006-11-29,34,7,20.59,6,85.71,1,,6,,,1,,1,,,0,6,100
2006-11-30,42,5,11.9,5,100,0,,4,,4,1,,,,1,33.33,2,66.67
