Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-06-01,2246,67,2.98,53,79.1,14,,36,7,1,3,3,7,26,10,55.56,8,44.44
2007-06-02,2537,100,3.94,76,76,24,,53,4,3,3,2,2,38,19,76,6,24
2007-06-03,2502,97,3.88,82,84.54,15,1,62,10,1,,,2,54,10,58.82,7,41.18
2007-06-04,2455,83,3.38,66,79.52,17,,46,9,2,4,3,1,29,11,68.75,5,31.25
2007-06-05,2710,98,3.62,66,67.35,32,,37,16,2,2,2,1,44,13,65,7,35
2007-06-06,2646,108,4.08,86,79.63,22,1,57,14,,2,,2,47,15,71.43,6,28.57
2007-06-07,2491,109,4.38,88,80.73,21,,64,12,2,2,1,2,49,12,57.14,9,42.86
2007-06-08,2286,98,4.29,77,78.57,21,,51,10,1,4,3,,43,16,57.14,12,42.86
2007-06-09,2381,105,4.41,76,72.38,29,,47,14,1,3,1,2,47,15,60,10,40
2007-06-10,2544,132,5.19,106,80.3,26,1,79,15,3,3,2,7,64,12,57.14,9,42.86
2007-06-11,2440,93,3.81,77,82.8,16,1,53,14,1,3,,1,44,10,55.56,8,44.44
2007-06-12,2673,84,3.14,73,86.9,11,,48,13,,2,1,,50,12,70.59,5,29.41
2007-06-13,2505,89,3.55,72,80.9,17,,46,10,,4,2,3,44,16,76.19,5,23.81
2007-06-14,2587,110,4.25,91,82.73,19,,63,10,,2,,1,47,18,69.23,8,30.77
2007-06-15,2274,87,3.83,67,77.01,20,,54,7,1,,,3,42,6,42.86,8,57.14
2007-06-16,2413,114,4.72,87,76.32,27,,58,15,2,3,,3,55,14,66.67,7,33.33
2007-06-17,2368,106,4.48,90,84.91,16,,57,13,3,8,4,2,51,20,66.67,10,33.33
2007-06-18,2480,92,3.71,76,82.61,16,4,47,12,1,2,1,5,54,17,62.96,10,37.04
2007-06-19,2543,94,3.7,69,73.4,25,,45,9,1,4,2,1,39,15,68.18,7,31.82
2007-06-20,2528,115,4.55,91,79.13,24,1,71,5,3,4,2,5,54,15,68.18,7,31.82
2007-06-21,2394,86,3.59,70,81.4,16,1,48,9,2,3,3,1,38,13,56.52,10,43.48
2007-06-22,2233,86,3.85,67,77.91,19,,42,12,3,2,1,2,33,13,59.09,9,40.91
2007-06-23,2349,98,4.17,80,81.63,18,,48,11,2,6,4,4,37,21,80.77,5,19.23
2007-06-24,2410,115,4.77,90,78.26,25,,61,12,2,2,1,,56,17,73.91,6,26.09
2007-06-25,2538,99,3.9,81,81.82,18,,49,14,,7,4,5,44,18,62.07,11,37.93
2007-06-26,2505,103,4.11,76,73.79,27,,52,13,2,3,2,1,48,11,64.71,6,35.29
2007-06-27,2408,81,3.36,61,75.31,20,,43,10,2,4,2,1,31,8,53.33,7,46.67
2007-06-28,2426,87,3.59,68,78.16,19,1,48,7,2,3,,4,42,13,56.52,10,43.48
2007-06-29,2161,99,4.58,78,78.79,21,,47,18,,5,3,1,44,13,43.33,17,56.67
2007-06-30,2898,124,4.28,82,66.13,42,,55,14,2,3,,2,49,13,52,12,48
