Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,9992,652,6.53,572,87.73,80,1,314,103,42,77,42,27,124,155,84.24,29,15.76
2006-07-02,9347,696,7.45,606,87.07,90,2,339,134,52,73,35,34,130,133,77.78,38,22.22
2006-07-03,10123,662,6.54,580,87.61,82,1,313,117,48,65,36,23,135,150,82.87,31,17.13
2006-07-04,10493,725,6.91,633,87.31,92,,350,117,39,77,43,37,162,166,79.43,43,20.57
2006-07-05,10734,681,6.34,595,87.37,86,1,311,112,40,78,46,31,143,172,83.09,35,16.91
2006-07-06,10695,709,6.63,605,85.33,104,1,321,115,30,55,30,32,162,169,81.64,38,18.36
2006-07-07,11167,746,6.68,652,87.4,94,,355,120,40,70,34,38,198,177,75,59,25
2006-07-08,11537,768,6.66,675,87.89,93,1,381,125,33,69,33,37,191,169,78.6,46,21.4
2006-07-09,10855,744,6.85,656,88.17,88,,378,129,66,75,41,34,164,149,80.11,37,19.89
2006-07-10,11070,767,6.93,660,86.05,107,3,358,133,55,74,48,50,157,169,80.86,40,19.14
2006-07-11,10914,771,7.06,664,86.12,107,2,353,105,41,65,27,36,198,206,78.33,57,21.67
2006-07-12,11106,750,6.75,635,84.67,115,2,330,131,49,69,36,28,162,174,79.45,45,20.55
2006-07-13,11047,770,6.97,670,87.01,100,1,352,116,50,61,35,28,182,202,83.47,40,16.53
2006-07-14,11440,772,6.75,651,84.33,121,1,314,115,43,64,30,20,187,222,79.86,56,20.14
2006-07-15,10708,768,7.17,657,85.55,111,1,369,118,37,64,35,38,158,170,77.98,48,22.02
2006-07-16,68,42,61.76,38,90.48,4,,17,16,4,5,2,1,7,5,83.33,1,16.67
2006-07-17,10982,774,7.05,658,85.01,116,,341,131,35,74,37,38,181,186,82.3,40,17.7
2006-07-18,11804,812,6.88,668,82.27,144,1,365,106,48,85,41,33,200,197,73.51,71,26.49
2006-07-19,12319,818,6.64,685,83.74,133,2,362,130,41,67,31,28,188,193,76.59,59,23.41
2006-07-20,12645,824,6.52,716,86.89,108,1,346,130,53,70,41,37,214,240,78.43,66,21.57
2006-07-21,12369,815,6.59,712,87.36,103,,388,133,52,65,33,30,206,191,73.75,68,26.25
2006-07-22,12580,847,6.73,727,85.83,120,3,380,136,54,90,40,31,189,211,82.75,44,17.25
2006-07-23,11671,842,7.21,729,86.58,113,1,400,128,34,88,51,35,204,201,76.14,63,23.86
2006-07-24,12402,757,6.1,648,85.6,109,,333,115,40,72,35,36,201,200,75.76,64,24.24
2006-07-25,12893,846,6.56,731,86.41,115,1,358,148,54,72,34,39,221,225,74.01,79,25.99
2006-07-26,12102,790,6.53,665,84.18,125,2,355,127,41,83,43,30,188,183,68.54,84,31.46
2006-07-27,11800,760,6.44,660,86.84,100,3,310,135,47,73,30,37,176,215,82.69,45,17.31
2006-07-28,11692,782,6.69,680,86.96,102,1,333,139,48,65,39,40,168,208,77.9,59,22.1
2006-07-29,11992,775,6.46,660,85.16,115,1,354,125,67,83,39,34,156,181,81.53,41,18.47
2006-07-30,11281,777,6.89,672,86.49,105,1,369,125,45,80,32,37,163,178,79.46,46,20.54
2006-07-31,12602,788,6.25,648,82.23,140,2,321,139,51,80,42,27,168,188,83.56,37,16.44
