Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-08-01,25082,682,2.72,658,96.48,24,1,454,125,69,123,54,62,38,79,92.94,6,7.06
2006-08-02,6165,199,3.23,194,97.49,5,,113,56,14,33,19,17,16,25,86.21,4,13.79
2006-08-03,45,41,91.11,40,97.56,1,,27,10,1,5,3,2,3,3,60,2,40
2006-08-04,240,39,16.25,38,97.44,1,,17,15,2,11,5,2,,6,85.71,1,14.29
2006-08-05,572,64,11.19,63,98.44,1,1,35,16,10,11,6,4,2,12,80,3,20
2006-08-06,347,40,11.53,38,95,2,,20,11,3,11,6,1,3,7,70,3,30
2006-08-07,6141,244,3.97,238,97.54,6,,177,36,27,43,21,13,18,25,92.59,2,7.41
2006-08-08,18104,776,4.29,762,98.2,14,,556,129,76,158,71,42,37,77,86.52,12,13.48
2006-08-09,15916,742,4.66,728,98.11,14,,531,114,53,150,73,48,43,83,92.22,7,7.78
2006-08-10,18643,791,4.24,775,97.98,16,,549,140,57,165,83,50,39,86,92.47,7,7.53
2006-08-11,17769,717,4.04,703,98.05,14,1,496,147,68,140,65,46,33,60,90.91,6,9.09
2006-08-12,15540,702,4.52,689,98.15,13,,472,136,57,149,70,52,32,81,92.05,7,7.95
2006-08-13,7501,379,5.05,374,98.68,5,1,269,69,30,84,46,27,21,36,92.31,3,7.69
2006-08-14,11806,454,3.85,440,96.92,14,,293,102,49,92,52,34,23,45,95.74,2,4.26
2006-08-15,7919,393,4.96,383,97.46,10,2,271,60,33,75,31,20,21,52,96.3,2,3.7
2006-08-16,12981,492,3.79,478,97.15,14,3,350,70,39,100,48,33,25,58,92.06,5,7.94
2006-08-17,13170,458,3.48,445,97.16,13,,322,57,40,71,40,23,27,66,88,9,12
2006-08-18,747,62,8.3,62,100,0,,34,19,9,15,8,5,3,9,69.23,4,30.77
2006-08-19,463,56,12.1,55,98.21,1,,23,16,7,17,5,2,1,16,88.89,2,11.11
2006-08-20,313,50,15.97,47,94,3,1,26,10,5,5,3,2,5,11,84.62,2,15.38
2006-08-21,469,46,9.81,45,97.83,1,,18,15,7,9,5,2,1,12,92.31,1,7.69
2006-08-22,509,44,8.64,40,90.91,4,1,20,7,4,11,7,2,2,13,92.86,1,7.14
2006-08-23,440,49,11.14,48,97.96,1,,28,8,7,9,6,4,1,12,92.31,1,7.69
2006-08-24,448,39,8.71,38,97.44,1,,22,6,5,7,4,4,3,10,90.91,1,9.09
2006-08-25,407,48,11.79,47,97.92,1,,21,10,6,8,4,4,1,16,88.89,2,11.11
2006-08-26,411,36,8.76,35,97.22,1,,20,6,3,7,4,5,,9,64.29,5,35.71
2006-08-27,266,41,15.41,40,97.56,1,,19,10,7,8,4,2,,11,84.62,2,15.38
2006-08-28,423,41,9.69,40,97.56,1,,22,11,3,7,1,4,3,7,63.64,4,36.36
2006-08-29,3998,396,9.9,394,99.49,2,1,286,80,42,83,48,22,14,28,80,7,20
2006-08-30,4234,390,9.21,383,98.21,7,,227,112,37,78,52,28,11,44,86.27,7,13.73
2006-08-31,15481,618,3.99,605,97.9,13,,437,81,57,123,56,31,23,87,84.47,16,15.53
