Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-10-01,15957,598,3.75,552,92.31,46,,415,89,60,131,63,34,23,48,94.12,3,5.88
2006-10-02,15733,621,3.95,601,96.78,20,,442,108,50,121,59,57,29,51,94.44,3,5.56
2006-10-03,20521,708,3.45,686,96.89,22,1,476,130,60,128,61,49,17,80,95.24,4,4.76
2006-10-04,13609,513,3.77,501,97.66,12,,359,89,52,113,42,23,19,53,94.64,3,5.36
2006-10-05,19109,815,4.27,802,98.4,13,,555,151,91,162,75,43,28,96,94.12,6,5.88
2006-10-06,5503,406,7.38,401,98.77,5,,255,107,39,82,43,23,12,39,88.64,5,11.36
2006-10-07,2564,212,8.27,212,100,0,,131,60,15,54,24,11,4,21,80.77,5,19.23
2006-10-08,1578,158,10.01,157,99.37,1,1,113,35,10,36,19,10,5,9,81.82,2,18.18
2006-10-09,1607,142,8.84,138,97.18,4,1,86,43,20,38,14,11,4,9,60,6,40
2006-10-10,1468,131,8.92,129,98.47,2,,77,36,5,35,7,6,3,16,88.89,2,11.11
2006-10-11,844,79,9.36,79,100,0,,50,24,4,18,7,10,2,5,55.56,4,44.44
2006-10-12,132,37,28.03,35,94.59,2,1,22,7,7,6,5,10,1,6,75,2,25
2006-10-13,123,35,28.46,34,97.14,1,,16,16,3,10,4,3,,2,40,3,60
2006-10-14,81,36,44.44,36,100,0,1,25,7,7,4,2,4,,4,66.67,2,33.33
2006-10-15,67,30,44.78,29,96.67,1,,17,6,2,4,2,3,1,6,42.86,8,57.14
2006-10-16,80,37,46.25,37,100,0,,21,10,6,13,6,,3,6,66.67,3,33.33
2006-10-17,108,26,24.07,26,100,0,,19,4,3,7,6,4,2,3,75,1,25
2006-10-18,94,25,26.6,23,92,2,,15,6,4,3,2,3,2,2,66.67,1,33.33
2006-10-19,79,28,35.44,27,96.43,1,,18,7,2,8,4,6,1,2,50,2,50
2006-10-20,72,9,12.5,9,100,0,,7,1,1,1,,1,,1,25,3,75
2006-10-21,37,8,21.62,8,100,0,,4,3,,1,1,1,,1,16.67,5,83.33
2006-10-22,60,12,20,12,100,0,,6,3,2,3,2,,,3,60,2,40
2006-10-23,78,25,32.05,25,100,0,,15,6,3,4,3,1,,4,57.14,3,42.86
2006-10-25,51,11,21.57,11,100,0,,9,1,2,1,,,1,1,50,1,50
2006-10-26,71,13,18.31,13,100,0,,9,2,1,3,2,,1,2,40,3,60
2006-10-27,39,20,51.28,20,100,0,,12,6,4,4,2,,,2,66.67,1,33.33
2006-10-28,50,7,14,7,100,0,,4,2,2,2,1,,1,1,33.33,2,66.67
2006-10-29,44,7,15.91,7,100,0,,3,1,,2,,,1,3,42.86,4,57.14
2006-10-30,53,9,16.98,9,100,0,,4,4,,3,,2,,1,20,4,80
2006-10-31,62,8,12.9,8,100,0,,4,2,,3,1,2,,2,66.67,1,33.33
