Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-06-01,53,8,15.09,8,100,0,,7,1,,1,,,2,,0,5,100
2007-06-02,50,7,14,7,100,0,,6,1,1,,,,1,,0,1,100
2007-06-03,67,4,5.97,3,75,1,,2,1,,1,1,,,,0,3,100
2007-06-04,70,5,7.14,5,100,0,,,5,1,,,1,1,,0,4,100
2007-06-05,70,4,5.71,4,100,0,,1,1,,1,1,,1,2,50,2,50
2007-06-06,141,5,3.55,5,100,0,,2,1,1,,,,,2,40,3,60
2007-06-07,172,16,9.3,15,93.75,1,,10,4,,3,,,2,1,16.67,5,83.33
2007-06-08,154,15,9.74,15,100,0,,9,4,1,4,2,,3,2,40,3,60
2007-06-09,163,24,14.72,23,95.83,1,,14,6,4,3,1,2,1,3,37.5,5,62.5
2007-06-10,138,11,7.97,11,100,0,,3,5,,1,,1,1,3,60,2,40
2007-06-11,181,17,9.39,16,94.12,1,,9,6,,3,2,1,,1,25,3,75
2007-06-12,164,10,6.1,10,100,0,,4,4,,2,2,1,1,2,40,3,60
2007-06-13,57,6,10.53,6,100,0,,4,2,,2,,,,,0,1,100
2007-06-14,65,6,9.23,5,83.33,1,,4,1,1,1,,,,,0,6,100
2007-06-15,80,9,11.25,9,100,0,,4,2,,1,,,,3,60,2,40
2007-06-16,83,9,10.84,7,77.78,2,,3,3,1,1,1,,,1,25,3,75
2007-06-17,73,8,10.96,6,75,2,,3,1,,,,2,,2,33.33,4,66.67
2007-06-18,63,8,12.7,6,75,2,,6,,,,,,2,,0,4,100
2007-06-19,73,4,5.48,4,100,0,,2,2,,1,1,,,,0,3,100
2007-06-20,60,8,13.33,7,87.5,1,,2,4,,1,,,1,1,25,3,75
2007-06-21,81,4,4.94,4,100,0,,2,1,,1,1,,,1,25,3,75
2007-06-22,73,5,6.85,5,100,0,,3,1,,1,1,,,1,14.29,6,85.71
2007-06-23,64,9,14.06,8,88.89,1,,5,1,1,1,1,1,1,2,50,2,50
2007-06-24,89,10,11.24,10,100,0,,4,4,1,1,1,,,2,66.67,1,33.33
2007-06-25,90,5,5.56,4,80,1,,3,,,1,,,,1,20,4,80
2007-06-26,90,6,6.67,5,83.33,1,,4,,,,,,,1,50,1,50
2007-06-27,87,11,12.64,11,100,0,,3,8,,1,1,,2,,0,3,100
2007-06-28,64,4,6.25,4,100,0,,1,2,,1,1,,,1,25,3,75
2007-06-29,134,13,9.7,12,92.31,1,,4,8,1,2,1,,,,0,3,100
2007-06-30,161,12,7.45,10,83.33,2,,5,5,1,3,1,,,,0,4,100
