Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-12-01,23,5,21.74,4,80,1,,4,,,1,1,,,,0,3,100
2006-12-02,25,3,12,3,100,0,,3,,1,1,1,,,,0,6,100
2006-12-03,19,2,10.53,2,100,0,,2,,,1,1,,,,0,3,100
2006-12-04,23,3,13.04,3,100,0,,2,,,2,2,,,1,14.29,6,85.71
2006-12-05,9,2,22.22,2,100,0,,2,,,,,1,,,0,5,100
2006-12-06,20,1,5,1,100,0,,,,,1,,,,1,50,1,50
2006-12-07,5,4,80,4,100,0,,4,,,,,,,,0,5,100
2006-12-08,9,0,0,0,,0,,,,,,,,,,0,2,100
2006-12-09,9,2,22.22,2,100,0,,2,,,1,,,,,0,3,100
2006-12-10,6,1,16.67,1,100,0,,1,,,,,,,,0,3,100
2006-12-11,4,3,75,3,100,0,,2,1,1,,,1,,,0,1,100
2006-12-12,1,4,400,4,100,0,,3,1,,,,,2,,0,3,100
2006-12-13,7,2,28.57,2,100,0,,1,1,,1,1,,,,0,4,100
2006-12-14,8,1,12.5,1,100,0,,1,,,1,,,,,0,2,100
2006-12-15,6,1,16.67,1,100,0,,1,,,,,,,,0,2,100
2006-12-16,6,1,16.67,1,100,0,,1,,1,,,,,,0,2,100
2006-12-17,5,4,80,4,100,0,,3,,,,,,,1,20,4,80
2006-12-18,7,3,42.86,3,100,0,,3,,,1,,,1,,0,1,100
2006-12-19,6,4,66.67,4,100,0,1,3,1,,,,1,1,,0,1,100
2006-12-20,5,1,20,1,100,0,,1,,,,,,,,0,2,100
2006-12-21,7,7,100,7,100,0,1,4,3,,1,,,1,,0,3,100
2006-12-22,5,10,200,10,100,0,4,7,3,3,2,1,1,,,0,2,100
2006-12-23,3,8,266.67,8,100,0,1,8,,,2,1,1,1,,0,3,100
2006-12-24,2,3,150,3,100,0,,2,,1,,,,,1,14.29,6,85.71
2006-12-25,8,3,37.5,3,100,0,,3,,,,,,1,,0,4,100
2006-12-26,1,8,800,8,100,0,2,4,3,2,1,,1,,1,50,1,50
2006-12-28,5,0,0,0,,0,,,,,,,,,,,0,
2006-12-29,3,1,33.33,1,100,0,,1,,,,,1,,,0,2,100
2006-12-30,2,2,100,2,100,0,,2,,,,,,1,,0,4,100
2006-12-31,2,2,100,2,100,0,,1,1,,,,,,,0,9,100
