Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-03-01,47,4,8.51,4,100,0,,4,,,,,,,,0,4,100
2007-03-02,32,6,18.75,6,100,0,,4,2,,3,3,,1,,0,7,100
2007-03-03,42,1,2.38,1,100,0,,,1,,,,,,,0,11,100
2007-03-04,39,4,10.26,4,100,0,,2,1,,,,1,1,1,11.11,8,88.89
2007-03-05,51,5,9.8,5,100,0,,2,1,,,,,1,2,50,2,50
2007-03-06,38,1,2.63,1,100,0,,1,,,1,,,,,0,1,100
2007-03-07,29,4,13.79,3,75,1,,2,1,,,,,1,,0,5,100
2007-03-08,37,2,5.41,2,100,0,,2,,,,,,,,0,3,100
2007-03-09,44,4,9.09,4,100,0,,3,1,,,,1,1,,0,3,100
2007-03-10,36,4,11.11,4,100,0,,2,2,1,1,1,,1,,0,3,100
2007-03-11,68,1,1.47,1,100,0,,,1,,,,,,,0,7,100
2007-03-12,48,5,10.42,5,100,0,,3,1,,,,1,1,1,50,1,50
2007-03-13,66,1,1.52,1,100,0,,,,,,,,,1,33.33,2,66.67
2007-03-14,67,5,7.46,5,100,0,,3,1,,,,1,1,1,16.67,5,83.33
2007-03-15,53,2,3.77,2,100,0,,2,,,,,,,,0,4,100
2007-03-16,52,0,0,0,,0,,,,,,,,,,,0,
2007-03-17,60,2,3.33,2,100,0,,2,,,,,,1,,0,4,100
2007-03-18,54,4,7.41,3,75,1,,1,1,,1,,,1,1,33.33,2,66.67
2007-03-19,43,6,13.95,6,100,0,,3,1,2,2,1,,,2,66.67,1,33.33
2007-03-20,42,5,11.9,5,100,0,,2,2,,2,1,,,1,20,4,80
2007-03-21,53,3,5.66,3,100,0,,2,1,,,,,,,0,2,100
2007-03-22,40,2,5,2,100,0,,2,,,,,,,,0,3,100
2007-03-23,41,0,0,0,,0,,,,,,,,,,,0,
2007-03-24,49,4,8.16,4,100,0,,2,2,2,,,,,,0,4,100
2007-03-25,48,6,12.5,6,100,0,,5,1,,2,1,,1,,0,2,100
2007-03-26,39,5,12.82,4,80,1,,2,1,1,,,,,1,16.67,5,83.33
2007-03-27,61,0,0,0,,0,,,,,,,,,,,0,
2007-03-28,47,0,0,0,,0,,,,,,,,,,,0,
2007-03-29,63,0,0,0,,0,,,,,,,,,,,0,
2007-03-30,58,0,0,0,,0,,,,,,,,,,,0,
2007-03-31,106,5,4.72,5,100,0,,2,3,,2,1,1,,,0,2,100
