Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,6545,415,6.34,408,98.31,7,1,628,211,35,171,44,28,160,211,99.06,2,0.94
2006-07-02,3221,251,7.79,250,99.6,1,3,553,197,20,132,34,18,167,174,97.21,5,2.79
2006-07-03,3506,250,7.13,249,99.6,1,1,522,194,15,122,28,21,176,190,97.94,4,2.06
2006-07-04,8279,497,6,486,97.79,11,2,692,265,46,177,45,39,205,209,97.66,5,2.34
2006-07-05,5723,349,6.1,344,98.57,5,3,548,239,39,158,42,26,176,214,96.83,7,3.17
2006-07-06,10763,779,7.24,762,97.82,17,1,876,303,69,208,79,52,213,263,97.05,8,2.95
2006-07-07,9407,703,7.47,687,97.72,16,1,833,304,59,218,79,42,241,259,97.37,7,2.63
2006-07-08,6048,402,6.65,391,97.26,11,1,682,238,40,163,49,25,234,226,97.41,6,2.59
2006-07-09,2806,196,6.99,195,99.49,1,,539,198,16,125,20,8,198,179,96.24,7,3.76
2006-07-10,3948,266,6.74,260,97.74,6,4,571,213,23,137,28,17,187,204,97.14,6,2.86
2006-07-11,1114,120,10.77,118,98.33,2,3,467,164,17,88,7,7,227,231,97.88,5,2.12
2006-07-12,4798,297,6.19,287,96.63,10,3,581,201,22,138,32,16,193,213,98.61,3,1.39
2006-07-13,5683,336,5.91,330,98.21,6,2,604,218,27,140,32,21,221,247,96.11,10,3.89
2006-07-14,1598,118,7.38,117,99.15,1,1,421,157,12,87,4,11,210,247,96.86,8,3.14
2006-07-15,20,9,45,9,100,0,1,422,147,1,70,2,5,184,184,98.4,3,1.6
2006-07-16,18,5,27.78,5,100,0,,60,28,2,10,1,3,28,14,77.78,4,22.22
2006-07-17,544,10,1.84,10,100,0,,370,145,1,77,37,1,196,193,97.97,4,2.03
2006-07-18,109,11,10.09,11,100,0,1,400,121,2,94,2,2,220,207,97.18,6,2.82
2006-07-19,106,6,5.66,6,100,0,2,404,138,3,70,2,2,208,204,97.14,6,2.86
2006-07-20,117,6,5.13,6,100,0,1,394,151,3,83,1,4,243,258,98.85,3,1.15
2006-07-21,118,6,5.08,4,66.67,2,,429,145,5,70,1,5,221,206,98.1,4,1.9
2006-07-22,75,6,8,6,100,0,4,413,148,2,94,1,2,213,222,97.37,6,2.63
2006-07-23,72,6,8.33,6,100,0,1,443,151,3,98,7,4,240,216,96.86,7,3.14
2006-07-24,118,9,7.63,8,88.89,1,,379,129,2,79,4,2,224,212,99.07,2,0.93
2006-07-25,123,3,2.44,3,100,0,1,399,165,2,79,1,4,245,239,98.76,3,1.24
2006-07-26,98,4,4.08,4,100,0,3,398,146,4,87,2,1,213,197,98.99,2,1.01
2006-07-27,77,6,7.79,6,100,0,3,355,153,1,81,6,4,195,226,97.84,5,2.16
2006-07-28,80,1,1.25,1,100,0,2,377,154,2,72,1,3,197,228,95,12,5
2006-07-29,84,3,3.57,3,100,0,1,383,139,1,88,3,6,168,191,98.45,3,1.55
2006-07-30,38,2,5.26,2,100,0,1,419,141,2,87,5,2,196,193,97.47,5,2.53
2006-07-31,83,2,2.41,2,100,0,2,355,156,1,85,2,4,192,206,98.1,4,1.9
