Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-07-01,12438,737,5.93,721,97.83,16,2,1107,382,78,286,58,43,218,282,94.95,15,5.05
2006-07-02,6972,460,6.6,444,96.52,16,4,872,285,35,192,30,29,220,211,95.91,9,4.09
2006-07-03,12893,737,5.72,720,97.69,17,2,1020,335,56,232,66,54,249,271,96.1,11,3.9
2006-07-04,12035,743,6.17,711,95.69,32,2,1179,402,67,275,44,51,286,296,93.67,20,6.33
2006-07-05,10646,702,6.59,687,97.86,15,3,1051,358,70,230,43,55,247,279,96.21,11,3.79
2006-07-06,35,26,74.29,25,96.15,1,1,893,306,3,211,79,52,216,268,97.81,6,2.19
2006-07-07,40,27,67.5,27,100,0,1,847,316,2,221,1,7,244,260,98.86,3,1.14
2006-07-08,43,16,37.21,14,87.5,2,1,691,241,1,168,2,3,235,228,98.7,3,1.3
2006-07-09,27,11,40.74,11,100,0,,545,203,16,127,1,1,199,179,96.76,6,3.24
2006-07-10,2370,141,5.95,135,95.74,6,4,667,242,11,157,11,5,198,214,98.17,4,1.83
2006-07-11,4161,236,5.67,226,95.76,10,3,615,212,21,119,18,12,240,261,99.24,2,0.76
2006-07-12,7807,481,6.16,461,95.84,20,4,896,303,42,207,41,34,226,257,95.9,11,4.1
2006-07-13,5927,410,6.92,395,96.34,15,2,801,318,47,189,28,31,236,345,98.85,4,1.15
2006-07-14,4790,294,6.14,287,97.62,7,1,565,235,23,128,25,15,222,312,98.42,5,1.58
2006-07-15,2348,130,5.54,127,97.69,3,1,497,183,17,87,11,11,194,200,98.04,4,1.96
2006-07-16,4038,315,7.8,297,94.29,18,,193,99,32,50,22,26,50,107,95.54,5,4.46
2006-07-17,9365,562,6,539,95.91,23,,619,264,49,149,40,28,233,364,98.38,6,1.62
2006-07-18,5937,391,6.59,364,93.09,27,1,566,208,42,154,31,22,233,318,96.95,10,3.05
2006-07-19,4558,210,4.61,205,97.62,5,3,529,200,27,101,24,16,220,222,96.94,7,3.06
2006-07-20,8062,544,6.75,519,95.4,25,2,629,273,53,165,38,43,262,420,99.29,3,0.71
2006-07-21,1711,100,5.84,98,98,2,1,489,169,12,80,4,4,230,220,98.65,3,1.35
2006-07-22,5146,263,5.11,250,95.06,13,5,537,215,21,138,23,22,224,281,98.94,3,1.06
2006-07-23,1078,38,3.53,35,92.11,3,1,458,163,3,101,2,3,244,224,99.12,2,0.88
2006-07-24,2322,115,4.95,109,94.78,6,,461,151,10,91,7,6,239,217,98.64,3,1.36
2006-07-25,11108,796,7.17,769,96.61,27,1,732,328,72,186,53,61,298,512,98.65,7,1.35
2006-07-26,13690,879,6.42,841,95.68,38,3,767,354,75,195,58,58,264,461,96.85,15,3.15
2006-07-27,7640,568,7.43,546,96.13,22,3,579,287,46,151,41,33,221,414,97.41,11,2.59
2006-07-28,5215,307,5.89,297,96.74,10,2,575,234,40,119,28,20,203,247,94.64,14,5.36
2006-07-29,5473,316,5.77,313,99.05,3,1,549,263,37,143,22,20,174,214,98.62,3,1.38
2006-07-30,1801,113,6.27,109,96.46,4,1,468,198,12,105,9,5,200,196,96.55,7,3.45
2006-07-31,2324,156,6.71,151,96.79,5,2,431,216,16,110,18,12,194,221,96.93,7,3.07
