Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-10-01,11951,761,6.37,545,71.62,216,2,302,102,47,74,36,25,121,141,81.5,32,18.5
2006-10-02,12593,737,5.85,574,77.88,163,2,313,128,33,62,41,35,159,133,78.7,36,21.3
2006-10-03,14047,863,6.14,717,83.08,146,1,389,136,52,73,40,46,168,192,84.96,34,15.04
2006-10-04,13842,849,6.13,696,81.98,153,1,345,128,56,79,36,43,172,223,84.47,41,15.53
2006-10-05,13000,824,6.34,713,86.53,111,1,367,129,46,74,29,36,181,217,81.89,48,18.11
2006-10-06,13131,757,5.76,639,84.41,118,1,345,110,55,65,30,30,149,184,84.02,35,15.98
2006-10-07,13038,763,5.85,673,88.2,90,,355,124,52,79,42,63,139,194,82.2,42,17.8
2006-10-08,12487,788,6.31,696,88.32,92,5,361,144,60,70,26,30,175,191,83.41,38,16.59
2006-10-09,13430,717,5.34,604,84.24,113,,302,126,32,65,39,38,181,176,77.19,52,22.81
2006-10-10,13407,779,5.81,666,85.49,113,2,350,125,40,86,40,47,149,191,83.41,38,16.59
2006-10-11,13338,737,5.53,622,84.4,115,,337,107,35,70,35,22,168,178,84.76,32,15.24
2006-10-12,13451,823,6.12,697,84.69,126,3,351,144,41,61,35,41,187,202,75.94,64,24.06
2006-10-13,12269,699,5.7,592,84.69,107,2,331,109,31,69,38,28,151,152,73.79,54,26.21
2006-10-14,15990,798,4.99,653,81.83,145,2,324,130,40,76,39,33,175,199,79.6,51,20.4
2006-10-15,13278,736,5.54,628,85.33,108,3,352,119,44,69,29,34,171,157,79.7,40,20.3
2006-10-16,11259,663,5.89,599,90.35,64,2,322,122,46,58,30,35,144,155,80.73,37,19.27
2006-10-17,13835,701,5.07,594,84.74,107,,310,121,39,56,28,35,157,163,81.91,36,18.09
2006-10-18,13812,733,5.31,599,81.72,134,2,299,120,42,55,25,26,186,180,75.95,57,24.05
2006-10-19,12893,658,5.1,571,86.78,87,,293,98,38,50,29,31,183,180,78.6,49,21.4
2006-10-20,11136,600,5.39,496,82.67,104,1,270,68,32,41,24,27,151,158,72.48,60,27.52
2006-10-21,9616,571,5.94,459,80.39,112,3,277,77,24,54,32,26,151,105,66.88,52,33.12
2006-10-22,11342,640,5.64,552,86.25,88,1,323,101,39,53,22,25,160,128,82.58,27,17.42
2006-10-23,12947,756,5.84,639,84.52,117,3,344,124,49,65,38,39,159,171,78.8,46,21.2
2006-10-25,13227,783,5.92,670,85.57,113,2,346,140,56,64,34,49,173,184,79.31,48,20.69
2006-10-26,13391,751,5.61,611,81.36,140,1,356,98,45,63,38,36,197,157,75.85,50,24.15
2006-10-27,12671,712,5.62,620,87.08,92,3,334,106,36,65,39,46,155,180,83.33,36,16.67
2006-10-28,12146,710,5.85,635,89.44,75,1,306,140,62,74,33,28,151,189,83.63,37,16.37
2006-10-29,13417,785,5.85,689,87.77,96,2,391,106,34,76,40,39,212,192,79.01,51,20.99
2006-10-30,13909,753,5.41,664,88.18,89,3,370,114,44,81,40,33,195,180,77.92,51,22.08
2006-10-31,12555,728,5.8,631,86.68,97,4,344,120,44,82,45,38,153,167,81.46,38,18.54
