Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-06-01,17947,927,5.17,744,80.26,183,,372,182,65,95,43,44,75,190,90.48,20,9.52
2007-06-02,17676,928,5.25,800,86.21,128,,409,207,84,112,61,42,90,184,85.58,31,14.42
2007-06-03,16357,900,5.5,771,85.67,129,,399,186,68,124,59,54,87,186,89.42,22,10.58
2007-06-04,18976,992,5.23,839,84.58,153,1,415,199,76,122,57,53,95,225,88.24,30,11.76
2007-06-05,19233,959,4.99,776,80.92,183,,399,189,73,96,43,54,92,188,89.1,23,10.9
2007-06-06,20196,928,4.59,708,76.29,220,2,370,167,63,98,44,48,91,171,88.6,22,11.4
2007-06-07,20352,995,4.89,760,76.38,235,,405,178,68,113,60,53,88,177,88.06,24,11.94
2007-06-08,18343,947,5.16,738,77.93,209,2,379,184,62,123,59,42,83,175,91.62,16,8.38
2007-06-09,17975,1050,5.84,811,77.24,239,2,437,173,66,138,76,52,86,201,89.33,24,10.67
2007-06-10,15903,1007,6.33,811,80.54,196,4,452,167,73,113,49,54,102,192,83.12,39,16.88
2007-06-11,18862,1019,5.4,805,79,214,3,413,193,76,110,55,53,95,199,88.84,25,11.16
2007-06-12,20076,984,4.9,807,82.01,177,1,399,202,66,113,55,50,93,206,90.35,22,9.65
2007-06-13,19298,1042,5.4,853,81.86,189,2,426,191,61,110,59,54,97,236,91.12,23,8.88
2007-06-14,19084,978,5.12,792,80.98,186,2,426,180,74,109,57,49,83,186,89.42,22,10.58
2007-06-15,18452,1040,5.64,876,84.23,164,1,479,184,86,124,61,40,89,213,88.75,27,11.25
2007-06-16,18840,1028,5.46,850,82.68,178,4,456,191,68,134,68,53,81,203,91.86,18,8.14
2007-06-17,16971,1022,6.02,821,80.33,201,1,437,191,68,135,67,53,85,193,87.73,27,12.27
2007-06-18,19407,992,5.11,808,81.45,184,4,405,201,76,141,80,44,91,202,90.18,22,9.82
2007-06-19,19743,1096,5.55,880,80.29,216,3,462,201,68,106,54,57,105,217,85.43,37,14.57
2007-06-20,19380,1062,5.48,823,77.5,239,1,430,180,73,109,57,51,105,213,87.65,30,12.35
2007-06-21,18077,1025,5.67,800,78.05,225,2,402,200,77,105,54,36,90,198,89.19,24,10.81
2007-06-22,17576,916,5.21,705,76.97,211,2,376,163,57,107,55,32,69,166,93.79,11,6.21
2007-06-23,17940,994,5.54,773,77.77,221,1,403,189,61,110,67,56,102,181,87.86,25,12.14
2007-06-24,16305,1017,6.24,860,84.56,157,2,458,219,75,119,55,55,92,183,89.71,21,10.29
2007-06-25,17634,934,5.3,755,80.84,179,2,377,175,70,90,41,38,96,203,88.26,27,11.74
2007-06-26,17469,972,5.56,801,82.41,171,2,428,187,62,127,62,44,103,186,87.74,26,12.26
2007-06-27,17843,973,5.45,796,81.81,177,6,400,197,78,97,49,47,91,199,90.87,20,9.13
2007-06-28,18745,1028,5.48,809,78.7,219,,425,199,67,111,56,58,89,185,91.13,18,8.87
2007-06-29,17825,862,4.84,655,75.99,207,2,380,138,46,110,58,41,76,137,88.96,17,11.04
2007-06-30,339,92,27.14,79,85.87,13,,37,25,11,18,7,2,10,17,94.44,1,5.56
