Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-03-01,3106,117,3.77,98,83.76,19,1,71,11,3,4,3,2,52,16,55.17,13,44.83
2007-03-02,2792,110,3.94,94,85.45,16,,61,9,2,2,1,4,61,24,66.67,12,33.33
2007-03-03,2864,102,3.56,83,81.37,19,1,55,9,1,4,2,,57,19,61.29,12,38.71
2007-03-04,2943,112,3.81,106,94.64,6,,63,21,3,10,6,3,56,22,56.41,17,43.59
2007-03-05,2860,125,4.37,107,85.6,18,,74,18,2,5,4,2,62,15,71.43,6,28.57
2007-03-06,3017,115,3.81,95,82.61,20,2,63,19,,3,,1,55,13,76.47,4,23.53
2007-03-07,2861,94,3.29,82,87.23,12,,53,11,3,3,3,1,46,18,72,7,28
2007-03-08,2850,109,3.82,92,84.4,17,,51,16,,3,1,1,60,25,71.43,10,28.57
2007-03-09,2408,93,3.86,79,84.95,14,,50,15,,,,4,52,14,56,11,44
2007-03-10,2604,106,4.07,93,87.74,13,1,57,19,4,1,1,2,60,17,73.91,6,26.09
2007-03-11,5150,113,2.19,101,89.38,12,,67,16,2,5,4,3,63,18,60,12,40
2007-03-12,2554,102,3.99,87,85.29,15,,57,15,3,3,1,4,47,15,75,5,25
2007-03-13,2585,95,3.68,83,87.37,12,,53,15,1,1,1,5,52,15,68.18,7,31.82
2007-03-14,2342,85,3.63,75,88.24,10,,55,10,,2,2,2,45,10,55.56,8,44.44
2007-03-15,2268,84,3.7,76,90.48,8,,53,11,1,2,2,2,42,12,70.59,5,29.41
2007-03-16,2719,0,0,0,,0,,,,,,,,,,,0,
2007-03-17,2332,99,4.25,94,94.95,5,,54,17,1,2,2,3,58,23,79.31,6,20.69
2007-03-18,2285,95,4.16,81,85.26,14,,53,16,,4,4,2,52,12,70.59,5,29.41
2007-03-19,2437,103,4.23,86,83.5,17,1,58,10,4,3,3,2,51,18,78.26,5,21.74
2007-03-20,2507,99,3.95,84,84.85,15,,62,14,2,3,3,2,56,8,50,8,50
2007-03-21,2418,96,3.97,79,82.29,17,,50,13,2,1,,2,43,16,72.73,6,27.27
2007-03-22,2574,97,3.77,83,85.57,14,,54,9,4,,,1,59,20,71.43,8,28.57
2007-03-23,2278,0,0,0,,0,,,,,,,,,,,0,
2007-03-24,2399,96,4,86,89.58,10,,63,11,,2,2,1,54,12,60,8,40
2007-03-25,2615,105,4.02,89,84.76,16,,57,16,1,3,2,1,58,16,72.73,6,27.27
2007-03-26,2553,103,4.03,86,83.5,17,2,53,15,1,2,2,,55,18,62.07,11,37.93
2007-03-27,2341,0,0,0,,0,,,,,,,,,,,0,
2007-03-28,2440,0,0,0,,0,,,,,,,,,,,0,
2007-03-29,2520,0,0,0,,0,,,,,,,,,,,0,
2007-03-30,2380,0,0,0,,0,,,,,,,,,,,0,
2007-03-31,4730,95,2.01,81,85.26,14,1,61,11,4,,,2,48,9,56.25,7,43.75
