Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-07-01,308,51,16.56,49,96.08,2,,26,15,7,8,2,6,2,8,88.89,1,11.11
2007-07-02,2805,156,5.56,110,70.51,46,,58,30,17,10,5,2,29,22,75.86,7,24.14
2007-07-03,21252,1012,4.76,778,76.88,234,1,406,180,69,113,55,43,92,192,90.14,21,9.86
2007-07-04,22270,1095,4.92,836,76.35,259,2,448,195,64,108,54,50,129,193,83.55,38,16.45
2007-07-05,20428,1018,4.98,824,80.94,194,3,430,208,59,118,62,40,98,186,89,23,11
2007-07-06,22300,1055,4.73,809,76.68,246,3,419,191,64,114,49,48,95,199,90.87,20,9.13
2007-07-07,24889,1228,4.93,971,79.07,257,1,494,224,75,129,63,57,106,253,87.54,36,12.46
2007-07-08,21568,1153,5.35,939,81.44,214,3,487,223,90,119,63,49,107,229,89.8,26,10.2
2007-07-09,24332,1152,4.73,926,80.38,226,1,455,203,58,131,75,52,111,268,88.45,35,11.55
2007-07-10,23852,1124,4.71,878,78.11,246,2,464,180,74,98,51,58,112,234,89.66,27,10.34
2007-07-11,22882,1060,4.63,851,80.28,209,2,418,188,62,114,46,67,91,245,89.74,28,10.26
2007-07-12,23139,1086,4.69,881,81.12,205,1,435,195,69,109,56,63,92,251,90.29,27,9.71
2007-07-13,21944,1022,4.66,832,81.41,190,2,425,194,75,116,55,62,75,213,90.64,22,9.36
2007-07-14,23118,1048,4.53,845,80.63,203,3,450,190,63,110,49,47,106,205,87.23,30,12.77
2007-07-15,20322,980,4.82,812,82.86,168,2,441,187,54,107,53,61,109,184,87.62,26,12.38
2007-07-16,20946,950,4.54,749,78.84,201,,378,197,63,111,48,46,100,174,90.16,19,9.84
2007-07-17,20721,1024,4.94,797,77.83,227,6,437,174,61,99,57,52,101,186,89,23,11
2007-07-18,19621,956,4.87,713,74.58,243,,346,179,50,93,48,46,71,188,91.71,17,8.29
2007-07-19,19176,882,4.6,659,74.72,223,3,343,137,48,95,48,44,79,179,90.86,18,9.14
2007-07-20,18413,881,4.78,683,77.53,198,1,361,139,66,83,38,34,78,183,91.96,16,8.04
2007-07-21,18353,884,4.82,696,78.73,188,,404,139,50,101,62,38,86,153,88.44,20,11.56
2007-07-22,17474,866,4.96,682,78.75,184,1,379,152,61,86,39,35,84,151,90.96,15,9.04
2007-07-23,18310,921,5.03,752,81.65,169,1,394,185,71,86,46,61,87,173,89.64,20,10.36
2007-07-24,18463,899,4.87,719,79.98,180,,368,171,61,92,49,54,81,180,90.45,19,9.55
2007-07-25,21212,960,4.53,762,79.38,198,3,423,164,53,115,65,51,91,175,87.06,26,12.94
2007-07-26,24644,924,3.75,705,76.3,219,1,367,154,67,106,42,41,82,184,88.04,25,11.96
2007-07-27,19366,818,4.22,655,80.07,163,1,355,130,42,92,49,35,75,170,91.4,16,8.6
2007-07-28,16732,870,5.2,718,82.53,152,1,351,191,66,103,55,49,73,176,90.72,18,9.28
2007-07-29,15064,861,5.72,717,83.28,144,2,389,154,59,88,44,40,84,174,90.16,19,9.84
2007-07-31,17244,877,5.09,705,80.39,172,1,376,154,62,86,48,49,79,175,89.29,21,10.71
