Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-12-01,1099,78,7.1,76,97.44,2,,48,25,13,14,9,4,3,3,33.33,6,66.67
2006-12-02,979,74,7.56,73,98.65,1,,50,17,6,10,7,7,,6,46.15,7,53.85
2006-12-03,8,1,12.5,1,100,0,,1,,1,,,,,,0,6,100
2006-12-04,71,6,8.45,5,83.33,1,,4,1,,1,1,,,,0,4,100
2006-12-05,11,8,72.73,8,100,0,1,4,4,2,1,,1,,,0,5,100
2006-12-06,61,8,13.11,8,100,0,,6,1,1,1,,,1,1,25,3,75
2006-12-07,11,3,27.27,3,100,0,,3,,,2,1,,,,0,5,100
2006-12-08,8,5,62.5,5,100,0,,4,1,1,1,,1,,,0,4,100
2006-12-09,8,4,50,4,100,0,,2,,1,2,1,,,2,18.18,9,81.82
2006-12-10,4,5,125,5,100,0,,4,1,,1,1,,1,,0,3,100
2006-12-11,10,4,40,4,100,0,,1,3,1,,,,,,0,1,100
2006-12-12,14,7,50,7,100,0,,6,1,,1,1,,1,,0,5,100
2006-12-13,12,4,33.33,4,100,0,,1,3,1,1,1,,,,0,4,100
2006-12-14,7,1,14.29,1,100,0,,1,,,,,1,,,0,11,100
2006-12-15,57,6,10.53,6,100,0,,6,,1,1,,,1,,0,7,100
2006-12-16,47,16,34.04,16,100,0,,13,3,2,4,3,3,,,0,5,100
2006-12-17,17,2,11.76,2,100,0,,2,,,,,,,,0,4,100
2006-12-18,10,3,30,3,100,0,,3,,,,,,,,0,3,100
2006-12-19,7,3,42.86,3,100,0,,1,1,,1,1,,1,1,25,3,75
2006-12-20,12,3,25,3,100,0,,1,1,,,,1,,1,20,4,80
2006-12-21,12,4,33.33,4,100,0,1,4,,,1,,,,,0,10,100
2006-12-22,18,17,94.44,16,94.12,1,4,11,3,1,5,3,2,,2,28.57,5,71.43
2006-12-23,7,12,171.43,12,100,0,4,7,4,3,4,1,1,1,1,25,3,75
2006-12-24,2,12,600,12,100,0,5,9,3,3,3,2,,2,,0,5,100
2006-12-25,1,21,2100,21,100,0,2,15,4,2,5,3,1,2,2,16.67,10,83.33
2006-12-26,4,12,300,12,100,0,4,10,2,1,4,2,2,2,,0,6,100
2006-12-28,344,0,0,0,,0,,,,,,,,,,,0,
2006-12-29,51,6,11.76,6,100,0,,4,1,,1,,,,1,33.33,2,66.67
2006-12-30,22,6,27.27,6,100,0,,5,,2,,,,1,1,20,4,80
2006-12-31,42,9,21.43,8,88.89,1,,3,5,,1,,1,1,,0,10,100
