Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-08-01,1308,64,4.89,43,67.19,21,1,28,8,1,3,1,2,18,7,58.33,5,41.67
2007-08-02,1236,75,6.07,52,69.33,23,,31,9,4,3,1,1,17,12,60,8,40
2007-08-03,1115,54,4.84,39,72.22,15,,27,5,1,3,2,2,19,7,53.85,6,46.15
2007-08-04,1277,69,5.4,44,63.77,25,1,24,8,2,1,,2,24,12,52.17,11,47.83
2007-08-05,1244,66,5.31,48,72.73,18,,32,11,1,4,3,2,24,5,27.78,13,72.22
2007-08-06,1307,64,4.9,43,67.19,21,,29,9,3,4,3,1,23,5,31.25,11,68.75
2007-08-07,1361,73,5.36,50,68.49,23,,26,13,,7,4,1,17,11,68.75,5,31.25
2007-08-08,1274,68,5.34,48,70.59,20,,25,7,,2,1,1,29,16,66.67,8,33.33
2007-08-09,1380,61,4.42,41,67.21,20,,22,12,4,4,2,2,17,7,50,7,50
2007-08-10,1157,72,6.22,51,70.83,21,,31,11,4,2,1,1,27,9,32.14,19,67.86
2007-08-11,1202,62,5.16,36,58.06,26,,27,2,1,2,2,,18,7,46.67,8,53.33
2007-08-12,1119,61,5.45,48,78.69,13,,29,7,1,5,4,,18,12,63.16,7,36.84
2007-08-13,1240,65,5.24,44,67.69,21,,24,9,1,2,,,21,11,45.83,13,54.17
2007-08-14,1313,57,4.34,38,66.67,19,,23,8,2,1,,,9,7,63.64,4,36.36
2007-08-15,1195,76,6.36,60,78.95,16,,39,10,,3,2,3,33,11,39.29,17,60.71
2007-08-16,1237,68,5.5,49,72.06,19,,26,13,2,3,2,2,22,10,62.5,6,37.5
2007-08-17,1281,59,4.61,43,72.88,16,,30,6,2,3,,6,15,7,46.67,8,53.33
2007-08-18,1130,52,4.6,38,73.08,14,,21,8,1,4,1,1,21,9,52.94,8,47.06
2007-08-19,1358,55,4.05,42,76.36,13,,28,6,1,4,1,,13,8,61.54,5,38.46
2007-08-20,1211,49,4.05,31,63.27,18,,19,4,1,1,,2,10,8,72.73,3,27.27
2007-08-21,1297,67,5.17,48,71.64,19,1,29,15,3,2,,3,16,4,33.33,8,66.67
2007-08-22,1367,55,4.02,40,72.73,15,,29,7,3,3,1,,17,4,33.33,8,66.67
2007-08-23,1277,73,5.72,56,76.71,17,,39,11,1,4,3,5,30,6,31.58,13,68.42
2007-08-24,1131,50,4.42,35,70,15,1,20,9,3,3,1,,17,6,40,9,60
2007-08-25,1107,53,4.79,38,71.7,15,,25,8,1,1,,3,15,5,50,5,50
2007-08-26,1150,66,5.74,47,71.21,19,,31,7,2,3,3,1,25,9,50,9,50
2007-08-27,1246,62,4.98,35,56.45,27,,24,9,,4,2,3,14,2,25,6,75
2007-08-28,1356,56,4.13,38,67.86,18,,28,6,1,3,2,1,13,4,33.33,8,66.67
2007-08-29,1246,58,4.65,38,65.52,20,,20,8,1,1,,,21,10,50,10,50
2007-08-30,1288,62,4.81,45,72.58,17,,31,7,3,3,,1,22,7,38.89,11,61.11
2007-08-31,1192,56,4.7,40,71.43,16,,27,7,,5,3,1,17,6,42.86,8,57.14
