Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-10-01,8,9,112.5,9,100,0,,7,2,1,2,,2,,,0,4,100
2006-10-02,5,2,40,1,50,1,,,,,,,,,1,33.33,2,66.67
2006-10-03,7,10,142.86,10,100,0,,7,2,2,3,2,,,1,20,4,80
2006-10-04,6,6,100,6,100,0,,3,2,,3,,,,1,14.29,6,85.71
2006-10-05,6,7,116.67,7,100,0,1,6,1,1,1,,,1,,0,3,100
2006-10-06,4,7,175,7,100,0,,5,2,,3,1,,,,0,6,100
2006-10-07,6,8,133.33,8,100,0,,7,1,2,1,,,1,,0,3,100
2006-10-08,5,6,120,6,100,0,,3,2,,3,2,,,1,25,3,75
2006-10-09,6,3,50,3,100,0,,3,,,2,1,,,,0,5,100
2006-10-10,12,9,75,8,88.89,1,,6,2,2,2,2,1,,,0,2,100
2006-10-11,8,1,12.5,1,100,0,,1,,,1,1,,,,0,4,100
2006-10-12,9,8,88.89,8,100,0,,7,1,,3,2,1,,,0,10,100
2006-10-13,13,1,7.69,1,100,0,,,,,1,1,,,1,25,3,75
2006-10-14,13,5,38.46,5,100,0,1,2,2,1,,,,1,1,33.33,2,66.67
2006-10-15,11,5,45.45,5,100,0,,3,2,1,,,1,,,0,7,100
2006-10-16,11,10,90.91,10,100,0,,9,1,,2,2,1,,,0,3,100
2006-10-17,11,5,45.45,4,80,1,,4,,,,,,,,0,1,100
2006-10-18,8,5,62.5,5,100,0,,4,1,1,1,1,1,,,0,10,100
2006-10-19,4,3,75,3,100,0,,2,1,2,,,,1,,0,19,100
2006-10-20,5,2,40,2,100,0,,2,,,1,,,,,0,1,100
2006-10-21,3,4,133.33,4,100,0,,4,,,1,,1,,,0,3,100
2006-10-22,2,0,0,0,,0,,,,,,,,,,0,1,100
2006-10-23,4,6,150,6,100,0,,5,1,,1,1,1,1,,0,3,100
2006-10-25,8,7,87.5,6,85.71,1,,4,2,,4,2,,,,0,1,100
2006-10-26,6,5,83.33,5,100,0,,2,3,1,1,,2,1,,0,7,100
2006-10-27,10,9,90,9,100,0,,6,2,1,2,1,1,,1,33.33,2,66.67
2006-10-28,6,5,83.33,5,100,0,,3,1,1,2,1,,,1,9.09,10,90.91
2006-10-29,2,4,200,4,100,0,,2,2,,1,,1,,,0,8,100
2006-10-30,4,1,25,1,100,0,,1,,,,,,,,0,2,100
2006-10-31,3,2,66.67,2,100,0,,1,1,,1,,,,,0,7,100
