Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-08-01,3905,141,3.61,118,83.69,23,,81,14,4,2,1,5,71,23,65.71,12,34.29
2007-08-02,3690,114,3.09,97,85.09,17,,71,7,,4,2,3,54,19,73.08,7,26.92
2007-08-03,3043,113,3.71,97,85.84,16,,64,17,2,7,6,2,53,16,48.48,17,51.52
2007-08-04,3340,108,3.23,88,81.48,20,,57,11,1,4,2,2,51,20,64.52,11,35.48
2007-08-05,3471,141,4.06,122,86.52,19,1,94,15,,6,1,3,71,13,68.42,6,31.58
2007-08-06,3345,123,3.68,95,77.24,28,,56,11,1,5,2,2,60,28,80,7,20
2007-08-07,3386,117,3.46,94,80.34,23,,64,10,3,7,4,2,47,20,80,5,20
2007-08-08,3317,121,3.65,96,79.34,25,,72,7,2,6,5,,61,17,54.84,14,45.16
2007-08-09,3341,122,3.65,94,77.05,28,,66,7,4,7,3,3,57,21,65.63,11,34.38
2007-08-10,2894,71,2.45,58,81.69,13,,33,15,3,4,3,1,34,10,66.67,5,33.33
2007-08-11,3094,106,3.43,86,81.13,20,,58,14,3,1,,1,54,14,51.85,13,48.15
2007-08-12,3075,125,4.07,99,79.2,26,,50,21,3,6,3,1,48,28,77.78,8,22.22
2007-08-13,3238,116,3.58,96,82.76,20,,58,17,2,7,1,7,48,21,67.74,10,32.26
2007-08-14,3074,117,3.81,101,86.32,16,,73,7,3,4,1,3,63,21,63.64,12,36.36
2007-08-15,3124,125,4,101,80.8,24,,74,10,2,7,4,1,62,17,58.62,12,41.38
2007-08-16,3011,105,3.49,88,83.81,17,1,67,9,2,6,5,4,49,12,48,13,52
2007-08-17,2557,77,3.01,64,83.12,13,,43,12,,4,4,1,38,9,47.37,10,52.63
2007-08-18,2825,118,4.18,96,81.36,22,,60,12,1,7,3,1,56,24,64.86,13,35.14
2007-08-19,2409,83,3.45,75,90.36,8,1,57,10,1,3,2,2,55,8,53.33,7,46.67
2007-08-20,2266,75,3.31,61,81.33,14,,40,10,1,4,2,3,32,11,64.71,6,35.29
2007-08-21,2425,78,3.22,49,62.82,29,1,31,8,,3,2,1,28,10,76.92,3,23.08
2007-08-22,1792,75,4.19,55,73.33,20,,40,6,2,4,1,1,32,9,47.37,10,52.63
2007-08-23,1534,55,3.59,44,80,11,,28,10,,4,3,2,27,6,50,6,50
2007-08-24,1321,56,4.24,42,75,14,,26,10,2,3,3,2,24,6,50,6,50
2007-08-25,1436,56,3.9,43,76.79,13,,26,10,,,,5,24,7,70,3,30
2007-08-26,1541,61,3.96,46,75.41,15,,30,7,,4,3,3,27,9,69.23,4,30.77
2007-08-27,1499,75,5,59,78.67,16,,39,12,1,1,1,2,37,8,66.67,4,33.33
2007-08-28,1402,58,4.14,47,81.03,11,,38,8,1,1,,1,28,1,16.67,5,83.33
2007-08-29,1466,56,3.82,40,71.43,16,,30,6,2,2,,,22,4,44.44,5,55.56
2007-08-30,1429,52,3.64,41,78.85,11,1,33,5,1,1,,2,29,3,33.33,6,66.67
2007-08-31,1227,58,4.73,45,77.59,13,1,33,9,1,,,,34,3,33.33,6,66.67
