Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-04-01,430,8,1.86,7,87.5,1,,3,4,,,,,4,,0,3,100
2007-04-02,411,12,2.92,11,91.67,1,,7,3,2,,,,3,1,20,4,80
2007-04-03,436,12,2.75,9,75,3,,5,2,,1,,,6,2,33.33,4,66.67
2007-04-04,390,9,2.31,7,77.78,2,,4,2,1,,,1,,1,16.67,5,83.33
2007-04-05,363,9,2.48,7,77.78,2,,5,1,,,,1,3,1,25,3,75
2007-04-06,402,10,2.49,10,100,0,,3,5,,,,2,6,2,40,3,60
2007-04-07,390,13,3.33,9,69.23,4,1,5,2,,1,1,,8,2,50,2,50
2007-04-08,353,6,1.7,4,66.67,2,,4,,,,,,3,,0,7,100
2007-04-09,423,10,2.36,9,90,1,,5,1,,1,1,1,5,3,75,1,25
2007-04-10,873,29,3.32,18,62.07,11,,10,4,,,,,7,4,40,6,60
2007-04-11,1053,48,4.56,36,75,12,1,24,7,,4,2,2,16,5,38.46,8,61.54
2007-04-12,966,50,5.18,42,84,8,,20,15,,,,3,20,7,50,7,50
2007-04-13,1000,33,3.3,19,57.58,14,,13,2,,1,,,6,4,57.14,3,42.86
2007-04-14,954,45,4.72,36,80,9,,25,5,1,1,,,14,6,54.55,5,45.45
2007-04-15,994,40,4.02,30,75,10,,22,4,1,2,1,1,17,4,50,4,50
2007-04-16,947,32,3.38,23,71.88,9,,13,4,,2,1,1,9,6,60,4,40
2007-04-17,893,39,4.37,26,66.67,13,,20,4,,3,2,3,12,2,20,8,80
2007-04-18,1047,51,4.87,39,76.47,12,,28,5,,3,2,1,12,6,66.67,3,33.33
2007-04-19,1049,56,5.34,38,67.86,18,,30,5,1,1,1,2,15,3,37.5,5,62.5
2007-04-20,1032,36,3.49,23,63.89,13,,14,4,,4,1,,9,5,71.43,2,28.57
2007-04-21,1009,41,4.06,29,70.73,12,,18,5,,,,2,10,6,50,6,50
2007-04-22,1130,50,4.42,37,74,13,1,16,9,,5,3,1,16,12,75,4,25
2007-04-23,1140,48,4.21,37,77.08,11,,19,7,1,4,3,1,17,11,84.62,2,15.38
2007-04-24,1023,52,5.08,38,73.08,14,,26,7,2,3,1,2,19,5,31.25,11,68.75
2007-04-25,1066,44,4.13,28,63.64,16,,17,4,1,2,1,1,12,7,53.85,6,46.15
2007-04-26,1091,44,4.03,36,81.82,8,,26,8,1,4,3,3,14,2,28.57,5,71.43
2007-04-27,1059,48,4.53,35,72.92,13,,16,8,2,2,1,2,13,11,52.38,10,47.62
2007-04-28,961,38,3.95,27,71.05,11,1,13,7,1,2,1,,14,7,77.78,2,22.22
2007-04-29,933,48,5.14,36,75,12,,23,6,,,,,19,7,38.89,11,61.11
2007-04-30,997,42,4.21,29,69.05,13,1,23,4,2,3,2,,11,2,28.57,5,71.43
