Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-09-01,1110,61,5.5,48,78.69,13,,27,12,2,3,1,2,16,9,60,6,40
2006-09-02,1185,105,8.86,83,79.05,22,,44,22,4,6,2,10,22,17,77.27,5,22.73
2006-09-03,1224,92,7.52,68,73.91,24,,41,13,4,4,2,4,30,14,50,14,50
2006-09-04,1236,105,8.5,76,72.38,29,,42,21,2,10,6,4,20,13,81.25,3,18.75
2006-09-05,1149,80,6.96,59,73.75,21,,35,10,2,6,5,2,19,14,63.64,8,36.36
2006-09-06,1269,92,7.25,77,83.7,15,,46,21,1,11,9,6,33,10,55.56,8,44.44
2006-09-07,1246,85,6.82,73,85.88,12,,50,10,4,9,5,5,25,13,59.09,9,40.91
2006-09-08,1158,75,6.48,58,77.33,17,1,35,10,3,3,1,3,24,13,65,7,35
2006-09-09,1269,79,6.23,64,81.01,15,,36,15,5,7,4,4,20,13,68.42,6,31.58
2006-09-10,1266,96,7.58,78,81.25,18,,45,21,5,11,7,2,31,12,52.17,11,47.83
2006-09-11,1285,99,7.7,85,85.86,14,,56,15,7,8,4,3,24,14,53.85,12,46.15
2006-09-12,1172,57,4.86,51,89.47,6,,26,16,1,7,5,2,22,9,69.23,4,30.77
2006-09-13,1256,96,7.64,77,80.21,19,,56,13,6,9,6,2,33,8,42.11,11,57.89
2006-09-14,1253,103,8.22,79,76.7,24,,48,14,6,7,5,1,34,17,60.71,11,39.29
2006-09-15,1209,83,6.87,66,79.52,17,,32,16,2,7,1,5,18,18,90,2,10
2006-09-16,1283,93,7.25,77,82.8,16,,50,17,8,5,3,2,24,10,66.67,5,33.33
2006-09-17,1312,93,7.09,81,87.1,12,,47,20,5,6,3,4,24,14,56,11,44
2006-09-18,1339,85,6.35,65,76.47,20,,38,15,2,6,3,7,17,12,70.59,5,29.41
2006-09-19,1270,74,5.83,55,74.32,19,,34,9,,4,2,5,18,12,75,4,25
2006-09-20,1234,82,6.65,63,76.83,19,,35,17,3,4,3,8,18,11,78.57,3,21.43
2006-09-21,1583,100,6.32,89,89,11,,55,16,2,6,2,2,33,18,81.82,4,18.18
2006-09-22,1171,73,6.23,58,79.45,15,,30,14,1,2,,5,23,14,82.35,3,17.65
2006-09-23,1274,88,6.91,64,72.73,24,1,37,13,2,3,3,3,20,14,63.64,8,36.36
2006-09-24,1218,76,6.24,52,68.42,24,,33,10,4,4,4,4,23,9,56.25,7,43.75
2006-09-25,1144,58,5.07,41,70.69,17,,24,12,1,6,3,6,16,5,22.73,17,77.27
2006-09-26,1144,69,6.03,57,82.61,12,,35,11,3,3,1,3,21,11,73.33,4,26.67
2006-09-27,1298,74,5.7,58,78.38,16,,34,15,1,6,3,3,22,9,52.94,8,47.06
2006-09-28,1297,84,6.48,66,78.57,18,,34,11,1,8,5,5,24,21,65.63,11,34.38
2006-09-29,1171,83,7.09,68,81.93,15,1,45,12,2,5,3,3,30,11,68.75,5,31.25
2006-09-30,1179,79,6.7,5,6.33,74,,4,,,,,,4,1,25,3,75
