Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-09-01,,0,,0,,0,,,,,,,,,,0,9,100
2007-09-02,1,1,100,1,100,0,,1,,,,,,,,0,3,100
2007-09-03,,0,,0,,0,,,,,,,,,,0,5,100
2007-09-04,,2,,2,100,0,,1,1,,,,,,,0,4,100
2007-09-05,6,0,0,0,,0,,,,,,,,,,0,1,100
2007-09-06,,0,,0,,0,,,,,,,,,,0,6,100
2007-09-07,,1,,1,100,0,,1,,,,,,,,0,6,100
2007-09-08,,1,,1,100,0,,,1,,,,,,,0,5,100
2007-09-09,,0,,0,,0,,,,,,,,,,0,5,100
2007-09-10,,2,,1,50,1,,1,,,,,,,,0,5,100
2007-09-11,,0,,0,,0,,,,,,,,,,0,5,100
2007-09-12,,0,,0,,0,,,,,,,,,,0,1,100
2007-09-13,1,1,100,0,0,1,,,,,,,,,,0,1,100
2007-09-14,,0,,0,,0,,,,,,,,,,0,6,100
2007-09-15,,1,,1,100,0,,1,,,,,,,,0,2,100
2007-09-16,,0,,0,,0,,,,,,,,,,0,6,100
2007-09-17,1,1,100,1,100,0,,,1,1,,,,,,0,4,100
2007-09-18,,0,,0,,0,,,,,,,,,,0,2,100
2007-09-19,,0,,0,,0,,,,,,,,,,0,4,100
2007-09-20,,1,,1,100,0,,1,,,,,,1,,0,3,100
2007-09-21,,2,,2,100,0,,2,,,,,1,,,0,5,100
2007-09-22,9,0,0,0,,0,,,,,,,,,,0,3,100
2007-09-23,,0,,0,,0,,,,,,,,,,0,4,100
2007-09-24,,0,,0,,0,,,,,,,,,,0,7,100
2007-09-25,,0,,0,,0,,,,,,,,,,0,6,100
2007-09-26,1,1,100,1,100,0,,1,,,1,,,,,0,3,100
2007-09-27,,0,,0,,0,,,,,,,,,,0,2,100
2007-09-28,,0,,0,,0,,,,,,,,,,0,2,100
2007-09-29,,0,,0,,0,,,,,,,,,,0,1,100
2007-09-30,,0,,0,,0,,,,,,,,,,0,1,100
