Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-07-01,1359,58,4.27,40,68.97,18,,21,7,,4,3,2,21,12,50,12,50
2007-07-02,1518,70,4.61,52,74.29,18,,33,8,2,1,1,2,21,11,47.83,12,52.17
2007-07-03,1380,80,5.8,59,73.75,21,1,35,13,,2,1,2,29,11,45.83,13,54.17
2007-07-04,1332,82,6.16,59,71.95,23,,38,8,1,2,1,2,32,13,46.43,15,53.57
2007-07-05,1355,58,4.28,41,70.69,17,1,22,5,,7,3,,16,14,70,6,30
2007-07-06,1344,71,5.28,49,69.01,22,,32,11,,2,2,,24,6,33.33,12,66.67
2007-07-07,1342,49,3.65,33,67.35,16,,22,7,1,1,,1,17,4,36.36,7,63.64
2007-07-08,1353,71,5.25,46,64.79,25,1,36,7,,3,2,2,25,3,27.27,8,72.73
2007-07-09,1414,69,4.88,46,66.67,23,,23,11,2,,,1,15,12,57.14,9,42.86
2007-07-10,1510,62,4.11,46,74.19,16,,31,3,,7,6,1,20,12,48,13,52
2007-07-11,1389,52,3.74,39,75,13,,22,10,,4,3,1,25,7,31.82,15,68.18
2007-07-12,1346,50,3.71,34,68,16,,21,7,,4,2,2,11,6,85.71,1,14.29
2007-07-13,1163,70,6.02,44,62.86,26,,26,11,,3,2,,17,7,58.33,5,41.67
2007-07-14,1177,57,4.84,35,61.4,22,,29,4,,1,1,2,18,2,25,6,75
2007-07-15,1200,58,4.83,41,70.69,17,1,26,10,,3,2,,20,5,38.46,8,61.54
2007-07-16,1173,58,4.94,40,68.97,18,,22,13,3,2,2,3,15,5,38.46,8,61.54
2007-07-17,1330,81,6.09,58,71.6,23,,38,8,2,6,5,1,32,12,41.38,17,58.62
2007-07-18,1288,75,5.82,45,60,30,,27,13,1,5,2,,21,5,41.67,7,58.33
2007-07-19,1255,64,5.1,38,59.38,26,,23,9,1,3,2,2,18,6,46.15,7,53.85
2007-07-20,1178,51,4.33,31,60.78,20,,15,6,1,1,,1,5,10,71.43,4,28.57
2007-07-21,1204,55,4.57,36,65.45,19,,23,5,,3,2,1,19,8,57.14,6,42.86
2007-07-22,1166,67,5.75,44,65.67,23,,30,7,,1,1,,26,7,41.18,10,58.82
2007-07-23,1258,54,4.29,36,66.67,18,,29,3,3,3,3,3,11,4,44.44,5,55.56
2007-07-24,1247,55,4.41,41,74.55,14,,24,11,,3,1,3,19,6,37.5,10,62.5
2007-07-25,1257,63,5.01,45,71.43,18,,28,12,5,3,2,2,19,5,31.25,11,68.75
2007-07-26,1324,73,5.51,47,64.38,26,,29,11,2,1,,,24,7,31.82,15,68.18
2007-07-27,1305,66,5.06,45,68.18,21,,27,10,,1,1,1,20,8,44.44,10,55.56
2007-07-28,1395,74,5.3,54,72.97,20,1,31,6,1,2,2,2,14,17,65.38,9,34.62
2007-07-29,1326,66,4.98,44,66.67,22,,27,9,2,,,3,20,8,47.06,9,52.94
2007-07-31,1491,61,4.09,40,65.57,21,1,24,6,1,3,2,,22,10,66.67,5,33.33
