Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2006-08-01,27,4,14.81,4,100,0,,1,3,,,,,2,,0,2,100
2006-08-02,459,22,4.79,18,81.82,4,,13,2,1,3,2,,13,3,50,3,50
2006-08-03,507,23,4.54,19,82.61,4,,14,2,,,,1,17,3,42.86,4,57.14
2006-08-04,425,20,4.71,14,70,6,,8,4,,,,,11,2,33.33,4,66.67
2006-08-05,402,18,4.48,17,94.44,1,,14,2,,,,,15,1,12.5,7,87.5
2006-08-06,389,16,4.11,11,68.75,5,,8,1,,,,,9,2,33.33,4,66.67
2006-08-07,506,21,4.15,13,61.9,8,,10,3,,2,2,1,9,,0,5,100
2006-08-08,566,30,5.3,23,76.67,7,,15,6,1,2,1,2,12,2,28.57,5,71.43
2006-08-09,529,23,4.35,21,91.3,2,,10,5,,1,1,,17,6,85.71,1,14.29
2006-08-10,461,26,5.64,20,76.92,6,,12,5,,,,,13,3,50,3,50
2006-08-11,444,23,5.18,14,60.87,9,,9,3,,1,,1,9,2,40,3,60
2006-08-12,416,18,4.33,13,72.22,5,,7,4,,,,,10,2,25,6,75
2006-08-13,416,22,5.29,18,81.82,4,,8,7,1,,,,12,3,60,2,40
2006-08-14,435,19,4.37,15,78.95,4,,7,4,1,,,,11,4,66.67,2,33.33
2006-08-15,472,20,4.24,11,55,9,,5,1,,1,,,7,5,33.33,10,66.67
2006-08-16,480,24,5,18,75,6,,5,9,,,,1,15,4,50,4,50
2006-08-17,427,20,4.68,12,60,8,,9,1,1,,,1,8,2,40,3,60
2006-08-18,415,16,3.86,9,56.25,7,,6,1,1,,,,8,2,40,3,60
2006-08-19,389,14,3.6,12,85.71,2,,4,5,,1,,,8,3,60,2,40
2006-08-20,366,22,6.01,19,86.36,3,,14,2,,1,,1,13,3,50,3,50
2006-08-21,401,28,6.98,20,71.43,8,1,12,5,1,,,,14,3,50,3,50
2006-08-22,413,16,3.87,14,87.5,2,,9,4,,,,,8,1,50,1,50
2006-08-23,381,25,6.56,21,84,4,,12,3,1,1,,,15,6,54.55,5,45.45
2006-08-24,371,15,4.04,11,73.33,4,,7,2,,,,,10,2,50,2,50
2006-08-25,321,23,7.17,17,73.91,6,,12,4,,2,1,,12,1,20,4,80
2006-08-26,320,24,7.5,17,70.83,7,,13,1,1,2,2,3,8,3,33.33,6,66.67
2006-08-27,380,30,7.89,24,80,6,,15,6,,1,1,,22,3,50,3,50
2006-08-28,389,14,3.6,11,78.57,3,,7,,,,,,7,4,44.44,5,55.56
2006-08-29,380,16,4.21,14,87.5,2,,12,,,2,,,9,2,28.57,5,71.43
2006-08-30,383,19,4.96,15,78.95,4,,9,4,1,1,1,,11,2,22.22,7,77.78
2006-08-31,300,7,2.33,5,71.43,2,,3,,,,,,4,2,13.33,13,86.67
