Day,clicks,Total Profiles,conv,Activated profiles,Activated profiles %,inactivated profiles,paid,Male>25,Female,Delhi,Maharashtra,Mumbai,Bangalore,NRI,irrelavant profiles(age wise),irrelavant profiles(age wise %),irrelavant profiles(location wise),irrelavant profiles(location wise)%
2007-02-01,64,4,6.25,4,100,0,,1,3,1,,,1,1,,0,6,100
2007-02-02,49,5,10.2,5,100,0,,4,1,1,,,,,,0,5,100
2007-02-03,37,2,5.41,1,50,1,,1,,,,,,,,0,8,100
2007-02-04,47,5,10.64,4,80,1,,1,3,1,,,1,1,,0,8,100
2007-02-05,36,0,0,0,,0,,,,,,,,,,0,8,100
2007-02-06,30,2,6.67,2,100,0,,,2,,,,,1,,0,5,100
2007-02-07,33,3,9.09,2,66.67,1,,1,1,,,,,,,0,5,100
2007-02-08,32,2,6.25,2,100,0,,1,1,,,,1,,,0,6,100
2007-02-09,32,2,6.25,2,100,0,,2,,,,,,2,,0,6,100
2007-02-10,28,2,7.14,2,100,0,,2,,,1,1,,,,0,4,100
2007-02-11,31,3,9.68,3,100,0,,2,1,,1,1,,,,0,7,100
2007-02-12,40,7,17.5,7,100,0,,3,4,,,,,,,0,6,100
2007-02-13,43,5,11.63,4,80,1,,2,1,,,,,1,1,12.5,7,87.5
2007-02-14,32,4,12.5,4,100,0,,1,2,,1,,,,1,33.33,2,66.67
2007-02-15,33,3,9.09,3,100,0,,,2,,,,,1,1,14.29,6,85.71
2007-02-16,38,5,13.16,5,100,0,,2,2,1,,,,2,1,6.67,14,93.33
2007-02-17,42,4,9.52,4,100,0,,2,2,,,,,,,0,6,100
2007-02-18,37,2,5.41,2,100,0,,1,1,,1,1,,,,0,4,100
2007-02-19,30,2,6.67,2,100,0,,1,1,,,,,,,0,4,100
2007-02-20,59,3,5.08,3,100,0,,2,,,,,1,1,1,12.5,7,87.5
2007-02-21,43,1,2.33,1,100,0,,1,,,,,,1,,0,14,100
2007-02-22,43,0,0,0,,0,,,,,,,,,,0,4,100
2007-02-23,38,8,21.05,8,100,0,,3,3,,1,,1,1,2,28.57,5,71.43
2007-02-24,46,6,13.04,6,100,0,,2,3,2,1,1,,,1,10,9,90
2007-02-25,40,3,7.5,3,100,0,,1,1,1,,,,,1,14.29,6,85.71
2007-02-26,43,1,2.33,1,100,0,,,1,,,,1,,,0,8,100
2007-02-27,33,1,3.03,1,100,0,,1,,,,,,,,0,5,100
2007-02-28,46,1,2.17,1,100,0,,1,,,,,,,,0,5,100
